,title,hits
66,"돼지갈비 후라이드 : 치킨보다 맛있다는 게 사실일까? 부산 깡통시장이 낳은 천재적인 아이디어! (탕수육, 돈가스와 완전 다름)",1591311
36,"돼지갈비 후라이드 : 치킨보다 맛있다는 게 사실일까? 부산 깡통시장이 낳은 천재적인 아이디어! (탕수육, 돈가스와 완전 다름)",1591311
2,마! 내 또 왔데이👋 부산 토박이들의 찐맛집 복수혈전🍴 | 또간집 EP.34,1571446
53,이제는로맨스까지접수한형이랑또나불,1444494
11,이제는로맨스까지접수한형이랑또나불,1444494
54,[SUB] 🔥충격 실화🔥 피아노 치는 김민정 실존❗️ l EP.28 l 조현아의 목요일 밤 l 윈터 에스파 조현아,1304497
17,[SUB] 🔥충격 실화🔥 피아노 치는 김민정 실존❗️ l EP.28 l 조현아의 목요일 밤 l 윈터 에스파 조현아,1304497
0,[분데스리가] 1R 베르더 브레멘 vs 바이에른 뮌헨,1273389
59,[SUB] 99대장 나선욱 vs 맵찔대장 권은비 🌶매콤한 소개팅🌶 | 선넘는 맵찔이 Ep. 5,1217058
65,[ENG] [스우파2/1회 예고] POWER TO POWER ⚡강자는 강자와 붙어야죠⚡ l 8월 22일 (화) 밤 10시 첫 방송 #스트릿우먼파이터2,1189343
40,모든 음식이 무제한으로 나오는 멕시코 호텔 - 북중미(7),1146690
93,💥식당찬모님이 알려주신 맛있는 ✔오이냉국은 이방법이 최고💯,1072589
47,빅띵. 여러분 덕분입니다.,1025117
23,한국어는 넘치는데 말은 안통하는 나라⎥🇨🇳연변1,982471
57,한국어는 넘치는데 말은 안통하는 나라⎥🇨🇳연변1,982471
79,"결국 다녀온 몽골... (Feat. 용띠클럽, 강훈)",916353
32,"결국 다녀온 몽골... (Feat. 용띠클럽, 강훈)",916353
56,[9-10화 하이라이트] 항상 날 지켜주던 엄마가 다쳤다 | 남남,907402
5,[23/24시즌 리그앙] 2R 툴루즈 vs 파리 생제르맹 2분 하이라이트,772506
71,[23/24시즌 리그앙] 2R 툴루즈 vs 파리 생제르맹 2분 하이라이트,772506
69,두 번째 만남에 가족이 되었습니다ㅣ키르기스스탄 - 세계여행 [64],765171
37,두 번째 만남에 가족이 되었습니다ㅣ키르기스스탄 - 세계여행 [64],765171
68,[선공개🎨] '지구가 태양을 네 번' IU Live Clip (With 넬),743156
27,[선공개🎨] '지구가 태양을 네 번' IU Live Clip (With 넬),743156
34,실전 현실육아 가보자고,694924
84,[🤰🏻vlog] 입덧이..사라지나..? 마님과 돌쇠 생활에 익숙해진 임신 중기! 열심히 먹고 쉬는 일상 (feat. 축 시누언니 셋째아기 출산),686095
33,[🤰🏻vlog] 입덧이..사라지나..? 마님과 돌쇠 생활에 익숙해진 임신 중기! 열심히 먹고 쉬는 일상 (feat. 축 시누언니 셋째아기 출산),686095
87,진짜 아무 계획 없이 떠난 홍콩 여행 EP.1 [Eng sub],595144
31,FIFTY FIFTY (피프티피프티) - 'Cupid [Twin Ver.] (feat. Sabrina Carpenter)' Visualizer,586784
83,[MV] GIRL'S DAY(걸스데이) - Darling(달링)｜Cover by 주르르,576846
62,On the street (Feat. ASH ISLAND),572198
90,밥 대신 먹으면 살 빠지는 5가지 두부요리!! 다이어트 두부 요리👍💯,536349
20,비오는날 요쿠르트 배달해서 매출 1000만원 24살 요구르트 아가씨,529105
81,비오는날 요쿠르트 배달해서 매출 1000만원 24살 요구르트 아가씨,529105
94,개농장 강아지가 처음으로 사랑을 받으면 생기는 일,501091
44,개농장 강아지가 처음으로 사랑을 받으면 생기는 일,501091
13,저는 보통 해축이 개막하면 주간모음집을 봐요｜23/24 해외축구 주간 모음.zip [EP.01],494793
80,저는 보통 해축이 개막하면 주간모음집을 봐요｜23/24 해외축구 주간 모음.zip [EP.01],494793
29,"[나 혼자 산다 선공개] 팜유의 금남아(?) 금남시장 보쌈 식당 입성한 트와이스 지효 ✨ 보쌈 + 뜨끈 칼제비 + 맥주 🍚 행복 혼밥, MBC 230818 방송",483673
7,[MIX & MAX] NCT MARK & JISUNG (마크&지성) 'Some Minds & Voices' (4K),480468
10,나한테 잘해줬던 여자,479294
72,나한테 잘해줬던 여자,479294
77,(PL 2R) 토트넘 홋스퍼 2-0 맨체스터 유나이티드 // 2분 하이라이트 (🇰🇷 한글자막),451332
4,(PL 2R) 토트넘 홋스퍼 2-0 맨체스터 유나이티드 // 2분 하이라이트 (🇰🇷 한글자막),451332
43,시작한지 단 1분만에 우승 확정 ㅋㅋㅋㅋ 시작하자마자 뜬 기적의 상점에서 시작되는 레전드 사기판 ㄷㄷㄷㄷ,431248
48,집을 잃은 말랭씨..(24시간 관찰카메라),426577
